customer_state,customer_city,order_month,total_orders,total_sales,avg_order_value
RR,boa vista,2016-09-01,1,272.46,68.115
RS,passo fundo,2016-09-01,1,150.12,75.06
SP,sao joaquim da barra,2016-09-01,1,286.92,47.82
AL,maceio,2016-10-01,1,153.2,76.6
AL,cacimbinhas,2016-10-01,1,106.6,53.3
BA,iacu,2016-10-01,1,151.68,75.84
BA,itabuna,2016-10-01,1,1348.66,674.33
BA,eunapolis,2016-10-01,1,81.58,40.79
BA,apuarema,2016-10-01,1,408.76,204.38
CE,sobral,2016-10-01,1,170.16,85.08
CE,fortaleza,2016-10-01,5,2417.81,219.800909090909
CE,bela cruz,2016-10-01,1,1323.5,661.75
DF,brasilia,2016-10-01,6,2170.02,166.924615384615
ES,vila velha,2016-10-01,1,1566.44,783.22
ES,mimoso do sul,2016-10-01,1,150.66,75.33
ES,cachoeiro de itapemirim,2016-10-01,1,238.86,119.43
ES,cariacica,2016-10-01,1,89.16,89.16
GO,goiania,2016-10-01,5,983.99,140.57
GO,senador canedo,2016-10-01,1,137.44,68.72
GO,aparecida de goiania,2016-10-01,1,148.3,74.15
GO,mozarlandia,2016-10-01,1,154.57,154.57
MA,barreirinhas,2016-10-01,1,129.66,64.83
MA,santa ines,2016-10-01,1,89.48,44.74
MA,sao luis,2016-10-01,1,625.2,104.2
MA,sao jose de ribamar,2016-10-01,1,1056.32,264.08
MG,carmo da mata,2016-10-01,1,210.78,105.39
MG,ibirite,2016-10-01,1,299.82,149.91
MG,contagem,2016-10-01,1,145.2,72.6
MG,ouro preto,2016-10-01,1,132.06,66.03
MG,juiz de fora,2016-10-01,2,1351.42,337.855
MG,coronel fabriciano,2016-10-01,1,90.98,45.49
MG,ipatinga,2016-10-01,1,184.54,92.27
MG,varginha,2016-10-01,2,311.3,77.825
MG,sao lourenco,2016-10-01,1,152.94,76.47
MG,capim branco,2016-10-01,1,69.63,69.63
MG,belo horizonte,2016-10-01,12,3284.29,105.944838709677
MG,lagoa santa,2016-10-01,1,80.3,40.15
MG,montes claros,2016-10-01,1,796.24,398.12
MG,caratinga,2016-10-01,1,424.64,212.32
MG,uberlandia,2016-10-01,2,1030.42,257.605
MG,pocos de caldas,2016-10-01,3,893.38,74.4483333333333
MG,capinopolis,2016-10-01,1,34.42,34.42
MG,caetanopolis,2016-10-01,1,68.84,34.42
MG,sao goncalo do sapucai,2016-10-01,1,61.64,61.64
MG,nanuque,2016-10-01,1,318.7,159.35
MG,ituiutaba,2016-10-01,1,121.2,60.6
MG,coromandel,2016-10-01,1,127.44,63.72
MG,alem paraiba,2016-10-01,1,178.76,89.38
MG,soledade de minas,2016-10-01,1,269.82,134.91
MT,cuiaba,2016-10-01,2,604.07,120.814
PA,novo progresso,2016-10-01,1,521.4,86.9
PA,santarem,2016-10-01,1,121.01,121.01
PA,rondon do para,2016-10-01,1,1327.86,663.93
PA,ananindeua,2016-10-01,1,474.9,237.45
PB,bayeux,2016-10-01,1,149.48,74.74
PE,belo jardim,2016-10-01,1,289.08,144.54
PE,ibimirim,2016-10-01,1,177.28,177.28
PE,igarassu,2016-10-01,1,1636.24,818.12
PE,recife,2016-10-01,4,917.9,152.983333333333
PI,teresina,2016-10-01,1,492.18,246.09
PR,sao jose dos pinhais,2016-10-01,1,142.42,71.21
PR,rio branco do sul,2016-10-01,1,66.84,33.42
PR,cianorte,2016-10-01,1,142.42,71.21
PR,siqueira campos,2016-10-01,1,635.8,317.9
PR,curitiba,2016-10-01,5,820.47,58.605
PR,cidade gaucha,2016-10-01,1,766.48,95.81
PR,nova esperanca,2016-10-01,1,217.68,54.42
PR,londrina,2016-10-01,4,836.86,104.6075
PR,cambe,2016-10-01,1,175.8,87.9
PR,campo mourao,2016-10-01,1,45.49,45.49
PR,maringa,2016-10-01,1,531.9,265.95
PR,santo antonio do sudoeste,2016-10-01,1,69.49,69.49
RJ,quissama,2016-10-01,1,2801.48,1400.74
RJ,santo antonio de padua,2016-10-01,1,101.72,50.86
RJ,niteroi,2016-10-01,1,627.44,313.72
RJ,marica,2016-10-01,2,764.93,254.976666666667
RJ,campos dos goytacazes,2016-10-01,1,627.16,313.58
RJ,guapimirim,2016-10-01,1,899.3,449.65
RJ,bacaxa,2016-10-01,1,145.02,72.51
RJ,cantagalo,2016-10-01,1,130.22,65.11
RJ,rio de janeiro,2016-10-01,32,13852.92,187.201621621622
